HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0000009,Male + Unbiased,9,27,21,9
N0.HOG0000011,Male + Unbiased,7,33,24,7
N0.HOG0000014,Male + Unbiased,17,56,51,17
N0.HOG0000015,All female-biased,2,2,2,2
N0.HOG0000020,All female-biased,5,5,5,5
N0.HOG0000023,Female + Unbiased,13,15,15,13
N0.HOG0000024,Female + Unbiased,3,3,3,3
N0.HOG0000027,All three,12,12,12,12
N0.HOG0000029,Male + Female,3,3,3,3
N0.HOG0000030,Male + Unbiased,10,10,10,10
N0.HOG0000031,Male + Unbiased,2,2,2,2
N0.HOG0000032,Male + Unbiased,14,52,46,14
N0.HOG0000033,Male + Unbiased,19,53,46,19
N0.HOG0000034,Female + Unbiased,4,42,36,4
N0.HOG0000035,Female + Unbiased,3,17,15,3
N0.HOG0000043,All three,5,8,8,5
N0.HOG0000044,All unbiased,3,3,3,3
N0.HOG0000045,Male + Unbiased,18,18,18,18
N0.HOG0000046,Male + Unbiased,23,80,73,23
N0.HOG0000047,All male-biased,6,6,6,6
N0.HOG0000048,Male + Unbiased,3,22,18,3
N0.HOG0000049,Male + Female,3,18,16,3
N0.HOG0000052,Male + Unbiased,11,17,16,11
N0.HOG0000053,Male + Unbiased,2,4,3,2
N0.HOG0000054,Male + Unbiased,6,13,10,6
N0.HOG0000055,Male + Unbiased,6,17,17,6
N0.HOG0000056,All three,6,6,6,6
N0.HOG0000058,Male + Unbiased,4,18,14,4
N0.HOG0000059,Male + Unbiased,6,6,6,6
N0.HOG0000060,All three,11,40,34,11
N0.HOG0000061,Male + Unbiased,4,4,4,4
N0.HOG0000062,Male + Unbiased,2,11,11,2
N0.HOG0000067,Male + Unbiased,2,4,4,2
N0.HOG0000068,Male + Unbiased,24,48,46,24
N0.HOG0000069,Male + Unbiased,5,19,16,5
N0.HOG0000070,Male + Unbiased,4,49,44,4
N0.HOG0000073,Male + Unbiased,18,18,18,18
N0.HOG0000074,Male + Unbiased,8,38,29,8
N0.HOG0000075,All unbiased,5,10,8,5
N0.HOG0000076,Male + Unbiased,4,49,38,4
N0.HOG0000077,Male + Unbiased,8,21,20,8
N0.HOG0000078,All male-biased,7,7,7,7
N0.HOG0000080,Male + Unbiased,6,6,6,6
N0.HOG0000085,All three,7,7,7,7
N0.HOG0000086,All male-biased,3,3,3,3
N0.HOG0000089,Male + Unbiased,8,8,8,8
N0.HOG0000090,All male-biased,2,33,20,2
N0.HOG0000091,Male + Unbiased,12,12,12,12
